age,female,male,total
1,5.46E-04,1.23E-03,8.89E-04
2,5.46E-04,1.23E-03,8.89E-04
3,5.46E-04,1.23E-03,8.89E-04
4,5.46E-04,1.23E-03,8.89E-04
5,5.46E-04,1.23E-03,8.89E-04
6,5.46E-04,1.23E-03,8.89E-04
7,5.46E-04,1.23E-03,8.89E-04
8,5.46E-04,1.23E-03,8.89E-04
9,5.46E-04,1.23E-03,8.89E-04
10,5.46E-04,1.23E-03,8.89E-04
11,5.46E-04,1.23E-03,8.89E-04
12,5.46E-04,1.23E-03,8.89E-04
13,5.46E-04,1.23E-03,8.89E-04
14,5.46E-04,1.23E-03,8.89E-04
15,5.46E-04,1.23E-03,8.89E-04
16,5.46E-04,1.23E-03,8.89E-04
17,5.46E-04,1.23E-03,8.89E-04
18,5.46E-04,1.23E-03,8.89E-04
19,5.46E-04,1.23E-03,8.89E-04
20,5.46E-04,1.23E-03,8.89E-04
21,5.46E-04,1.23E-03,8.89E-04
22,5.46E-04,1.23E-03,8.89E-04
23,5.46E-04,1.23E-03,8.89E-04
24,5.46E-04,1.23E-03,8.89E-04
25,5.46E-04,1.23E-03,8.89E-04
26,5.46E-04,1.23E-03,8.89E-04
27,5.46E-04,1.23E-03,8.89E-04
28,5.46E-04,1.23E-03,8.89E-04
29,5.46E-04,1.23E-03,8.89E-04
30,5.46E-04,1.23E-03,8.89E-04
31,5.46E-04,1.23E-03,8.89E-04
32,5.46E-04,1.23E-03,8.89E-04
33,5.46E-04,1.23E-03,8.89E-04
34,5.46E-04,1.23E-03,8.89E-04
35,5.46E-04,1.23E-03,8.89E-04
36,5.46E-04,1.23E-03,8.89E-04
37,5.46E-04,1.23E-03,8.89E-04
38,5.46E-04,1.23E-03,8.89E-04
39,5.46E-04,1.23E-03,8.89E-04
40,5.46E-04,1.23E-03,8.89E-04
41,5.46E-04,1.23E-03,8.89E-04
42,5.46E-04,1.23E-03,8.89E-04
43,5.46E-04,1.23E-03,8.89E-04
44,5.46E-04,1.23E-03,8.89E-04
45,5.46E-04,1.23E-03,8.89E-04
46,5.46E-04,1.23E-03,8.89E-04
47,5.46E-04,1.23E-03,8.89E-04
48,5.46E-04,1.23E-03,8.89E-04
49,5.46E-04,1.23E-03,8.89E-04
50,5.46E-04,1.23E-03,8.89E-04
51,5.46E-04,1.23E-03,8.89E-04
52,5.46E-04,1.23E-03,8.89E-04
53,5.46E-04,1.23E-03,8.89E-04
54,5.46E-04,1.23E-03,8.89E-04
55,5.46E-04,1.23E-03,8.89E-04
56,5.46E-04,1.23E-03,8.89E-04
57,5.46E-04,1.23E-03,8.89E-04
58,5.46E-04,1.23E-03,8.89E-04
59,5.46E-04,1.23E-03,8.89E-04
60,5.46E-04,1.23E-03,8.89E-04
61,5.46E-04,1.23E-03,8.89E-04
62,5.46E-04,1.23E-03,8.89E-04
63,5.46E-04,1.23E-03,8.89E-04
64,5.46E-04,1.23E-03,8.89E-04
65,5.46E-04,1.23E-03,8.89E-04
66,5.46E-04,1.23E-03,8.89E-04
67,5.46E-04,1.23E-03,8.89E-04
68,5.46E-04,1.23E-03,8.89E-04
69,5.46E-04,1.23E-03,8.89E-04
70,5.46E-04,1.23E-03,8.89E-04
71,5.46E-04,1.23E-03,8.89E-04
72,5.46E-04,1.23E-03,8.89E-04
73,5.46E-04,1.23E-03,8.89E-04
74,5.46E-04,1.23E-03,8.89E-04
75,5.46E-04,1.23E-03,8.89E-04
76,5.46E-04,1.23E-03,8.89E-04
77,5.46E-04,1.23E-03,8.89E-04
78,5.46E-04,1.23E-03,8.89E-04
79,5.46E-04,1.23E-03,8.89E-04
80,5.46E-04,1.23E-03,8.89E-04
81,5.46E-04,1.23E-03,8.89E-04
82,5.46E-04,1.23E-03,8.89E-04
83,5.46E-04,1.23E-03,8.89E-04
84,5.46E-04,1.23E-03,8.89E-04
85,5.46E-04,1.23E-03,8.89E-04
86,5.46E-04,1.23E-03,8.89E-04
87,5.46E-04,1.23E-03,8.89E-04
88,5.46E-04,1.23E-03,8.89E-04
89,5.46E-04,1.23E-03,8.89E-04
90,5.46E-04,1.23E-03,8.89E-04
91,5.46E-04,1.23E-03,8.89E-04
92,5.46E-04,1.23E-03,8.89E-04
93,5.46E-04,1.23E-03,8.89E-04
94,5.46E-04,1.23E-03,8.89E-04
95,5.46E-04,1.23E-03,8.89E-04
96,5.46E-04,1.23E-03,8.89E-04
97,5.46E-04,1.23E-03,8.89E-04
98,5.46E-04,1.23E-03,8.89E-04
99,5.46E-04,1.23E-03,8.89E-04
100,5.46E-04,1.23E-03,8.89E-04
101,5.46E-04,1.23E-03,8.89E-04
102,5.46E-04,1.23E-03,8.89E-04
103,5.46E-04,1.23E-03,8.89E-04
104,5.46E-04,1.23E-03,8.89E-04
105,5.46E-04,1.23E-03,8.89E-04
106,5.46E-04,1.23E-03,8.89E-04
107,5.46E-04,1.23E-03,8.89E-04
108,5.46E-04,1.23E-03,8.89E-04
109,5.46E-04,1.23E-03,8.89E-04
110,5.46E-04,1.23E-03,8.89E-04
